phase,policy,annualization_sessions,annualized_net_volatility,cost_bps,cost_convention,gross_cumulative_return,holding_intervals,initial_holdings,kind,maximum_net_drawdown,mean_concentration_hhi,net_cumulative_return,slippage_bps,terminal_liquidation,turnover_l1,zero_rate_sharpe
validation,no_holidays/risk_10,252,0.247968681914542,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05623300786593588,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12641504030693018,0.22500982747845327,0.047284120978875466,5.0,False,5.669288602368883,0.6882474241504852
validation,reference/blend_025,252,0.25076715656534904,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.10236164631033318,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10409958197390501,0.22480834883787254,0.0896294191431315,5.0,False,7.740382619050871,1.1635585687228283
validation,reference/cap_020,252,0.25332772125742675,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.1299813938105263,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.11384678899652523,0.12513489985165624,0.11807578207943425,5.0,False,7.058889892734478,1.463382595532668
validation,reference/diagonal_025,252,0.24789217025623844,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05418771649103005,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12798561207168624,0.22556410947140923,0.04540126476456385,5.0,False,5.57677800722131,0.6663366681847978
validation,reference/direct,252,0.24783116177431055,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05232584606482127,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12941574706781,0.22618388103647818,0.04368676904702906,5.0,False,5.492571701924227,0.6463250522349346
validation,reference/floor_0,252,0.3549089322182279,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,-0.03963168272176365,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.2161214970903429,0.9703344730871689,-0.0590350999433128,5.0,False,13.588645056358752,-0.3449294826253854
validation,reference/risk_1,252,0.24770343223030897,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.047047865026450975,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.13347094070412835,0.22854281769178314,0.038825261467614336,5.0,False,5.253101918510263,0.5892862355510051
validation,reference/risk_10,252,0.24789830318332567,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05436204217301954,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12785173909025338,0.22551171171992532,0.045561756364294936,5.0,False,5.584669852749308,0.668207030128405
validation,rigid_trend/blend_025,252,0.28072783462093487,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.19829979335830572,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10756313162138131,0.2214716106811629,0.18239152673307069,5.0,False,8.904501733495387,1.9523535634161193
validation,rigid_trend/cap_020,252,0.25343609637976117,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.16907768918460264,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12283096959913464,0.125422114306692,0.15772217165373137,5.0,False,6.504932391274871,1.8808326659186216
validation,rigid_trend/diagonal_025,252,0.2785847004502349,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.19159332395478046,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10051232339909655,0.2288885595229579,0.17678920454442437,5.0,False,8.329440878714118,1.9133805213432262
validation,rigid_trend/direct,252,0.27885013011999854,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.19504680233670024,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10051232339909633,0.23011809114868967,0.18009747224285277,5.0,False,8.387165627145913,1.942449246730834
validation,rigid_trend/floor_0,252,0.42344257002554603,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.25034155087616483,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12361373723086555,0.9284618579163818,0.2141380934367958,5.0,False,19.5608184987777,1.6025291730081914
validation,rigid_trend/risk_1,252,0.27890343801031287,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.19571171655643194,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10051232339909555,0.23037558693020727,0.18072133575870786,5.0,False,8.405624501033106,1.9478956970748553
validation,rigid_trend/risk_10,252,0.2762966304662307,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.17953386692847673,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10325138455303207,0.220385640769885,0.16518449436897797,5.0,False,8.155278553869662,1.8177972162867626
validation,weekly_only/blend_025,252,0.2579199640940521,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.08523754668402495,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12139471301627991,0.2243708999653639,0.07423435878359941,5.0,False,6.790063354982133,0.9703351001813699
validation,weekly_only/cap_020,252,0.25215866537133264,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.1445974868041564,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.1111385212364282,0.12516674497790672,0.13464316120044217,5.0,False,5.82151657130526,1.6462778561136353
validation,weekly_only/diagonal_025,252,0.25859709887389937,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.09182088121216081,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12139471301627969,0.22936727262487147,0.0807194334532011,5.0,False,6.809264821131531,1.0391947201658076
validation,weekly_only/direct,252,0.25859709887389953,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.09182088121216014,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12139471301627969,0.22936727262487233,0.08071943345319954,5.0,False,6.809264821131574,1.0391947201657954
