phase,model,ticker,actual_zero_count,count,directional_accuracy,last_price_mae,prediction_zero_count,price_mae,price_rmse,relative_price_mae,return_mae
validation,weekly_only,NFLX,0,17,0.5294117647058824,1.244116839240579,0,10.89978525438339,12.847841008711512,8.76106239429789,0.11788863386206101
validation,weekly_only,NVDA,0,17,0.7647058823529411,3.5698098575367645,0,12.070861629939325,14.618238360160714,3.3813738298847222,0.06002118155905906
validation,weekly_only,PLTR,0,17,0.5882352941176471,4.089414259966682,0,5.850521660689795,7.749658108933923,1.4306502811327952,0.04258441012913528
validation,weekly_only,TSLA,0,17,0.6470588235294118,6.14117431640625,0,36.98506751460758,44.22127182525651,6.022474792125889,0.09559708323611382
validation,weekly_only,TSM,0,17,0.7647058823529411,7.895055434283088,0,15.414308478022246,18.687592689894057,1.952400284751382,0.04162643470949518
validation,weekly_rolling,AAPL,0,17,0.47058823529411764,3.9564927045036766,0,12.247708391936541,15.632217600785815,3.0955973653116993,0.04314827597147318
validation,weekly_rolling,AMD,0,17,0.5294117647058824,9.088239781996784,0,47.00683486928206,57.233626439141275,5.172270538283944,0.13186433321609825
validation,weekly_rolling,AMZN,0,17,0.4117647058823529,4.158822452320772,0,19.24081118031203,24.282015174984394,4.626504593764268,0.07835609205891354
validation,weekly_rolling,GOOG,0,17,0.4117647058823529,4.684069465188419,0,27.37569997971827,31.638045113905086,5.844426557541897,0.07954101666129446
validation,weekly_rolling,JPM,0,17,0.5294117647058824,2.6696238798253678,0,10.772009666955356,12.771387678862418,4.03502895983235,0.035074609376253195
validation,weekly_rolling,META,0,17,0.6470588235294118,12.348097857306986,0,35.1218811092814,41.520667869097565,2.8443150933160144,0.058930077271441214
validation,weekly_rolling,MSFT,0,17,0.4117647058823529,5.748484892003677,0,22.121795409575927,29.713271068998274,3.8482827780147844,0.0559672858961027
validation,weekly_rolling,NFLX,0,17,0.4117647058823529,1.244116839240579,0,8.91758104288327,10.23901624823776,7.167800291431348,0.09781121707956028
validation,weekly_rolling,NVDA,0,17,0.5294117647058824,3.5698098575367645,0,12.282894056233221,15.029998292467823,3.440769829883502,0.06107812339095853
validation,weekly_rolling,PLTR,0,17,0.5294117647058824,4.089414259966682,0,7.892530362361371,10.732521065222693,1.9299904242094748,0.05604849666012519
validation,weekly_rolling,TSLA,0,17,0.6470588235294118,6.14117431640625,0,24.44933445233018,28.893018722526985,3.9812148609775453,0.06131011902844536
validation,weekly_rolling,TSM,0,17,0.5882352941176471,7.895055434283088,0,17.88184260521199,21.26505058725037,2.2649419949051635,0.04865402950326321
final_test,last_price,AAPL,0,9,0.0,3.7399224175347223,9,3.7399224175347223,4.077797759223137,1.0,0.011841448855882945
final_test,last_price,AMD,0,9,0.0,20.068888346354168,9,20.068888346354168,27.107080120961978,1.0,0.040249491715777935
final_test,last_price,AMZN,0,9,0.0,4.908888075086805,9,4.908888075086805,5.830929290015551,1.0,0.019915920215865832
final_test,last_price,GOOG,0,9,0.0,6.556871202256945,9,6.556871202256945,9.908167771958269,1.0,0.018655168368764005
final_test,last_price,JPM,0,9,0.0,4.016652425130208,9,4.016652425130208,4.396576179316689,1.0,0.011666133910408556
final_test,last_price,META,0,9,0.0,20.5433349609375,9,20.5433349609375,26.766224376993655,1.0,0.03463824683353246
